County ,Number of Infant Deaths,"Deaths per 1,000 Live Births",Percent of Adults Who Smoke,Adult Smoking Quintile,Percent of Adults Who Are Obese,Adult Obesity Quintile,Population without Adequate Food Access,Percent without Adequate Food Access,Income Ratio (80th Percentile to 20th Percentile),Income Inequality Quintile,2015 Median Household Income,Residential Segregation Index - Black/White,Residential Segregation Index - Non-White/White,Percent Unemployment,Percent Unemployment Quintile,Total Population,Total Land Area(Square Miles),Population Density (Per Square Mile),Total Population,Urban Population,Rural Population,"Urban Population, Percent","Rural Population, Percent",Total Family Households,Average Family Income,Median Family Income,Total Households,Gini Index Value,Total Population,Population in Poverty (Below 100% FPL),"Population in Poverty, Percent (Below 100% FPL)",Population with Income Below 185% FPL,"Population with Income Below 185% FPL, Percent",Total Population Age 25+,Population Age 25+ with No High School Diploma,"Population Age 25+with No High School Diploma,Percent"
Boone,81,5,18,1,28,1,21290,12,4.9,5,"$58,000",37,28,2.4,1,179704,685.55,262,162642,132088,30554,81.21%,18.79%,41144,"$102,381","$80,817",71919,0.47,170552,28752,16.86%,53858,31.58%,108906,5832,5.36%
Buchanan,61,8,23,2,39,5,12450,14,4.4,4,"$49,200",45,34,3.1,2,87904,408.25,215,89201,77273,11928,86.63%,13.37%,20292,"$80,972","$63,176",33642,0.45,83901,13155,15.68%,27561,32.85%,59767,6686,11.19%
Butler,27,7,27,5,38,5,7800,18,4.7,5,"$41,300",59,46,4.7,5,42570,694.76,61,42794,20463,22331,47.82%,52.18%,10467,"$68,889","$52,018",16358,0.47,41652,9119,21.89%,18745,45.00%,29313,4680,15.97%
Callaway,20,6,22,1,36,4,5260,12,3.9,2,"$58,700",41,29,2.9,1,44944,834.57,54,44332,16834,27498,37.97%,62.03%,11093,"$79,692","$70,206",16233,0.39,40835,3946,9.66%,9637,23.60%,30895,3642,11.79%
Cape Girardeau,44,7,20,1,33,3,9730,12,4.5,4,"$57,600",44,36,2.9,1,78834,578.52,136,75674,52591,23083,69.50%,30.50%,18717,"$85,957","$71,022",30215,0.44,75522,11946,15.82%,22619,29.95%,50736,4267,8.41%
Cass,45,5,21,1,37,4,10930,11,3.9,1,"$73,900",46,33,3,2,104687,696.61,150,99478,67245,32233,67.60%,32.40%,29364,"$98,257","$85,798",40397,0.39,103208,8570,8.30%,20158,19.53%,71534,4624,6.46%
Christian,37,5,20,1,34,3,9120,11,3.9,1,"$63,400",74,27,2.7,1,87324,562.59,155,77422,42740,34682,55.20%,44.80%,24052,"$90,361","$73,921",32487,0.41,86367,8651,10.02%,21539,24.94%,58874,4484,7.62%
Clay,106,5,19,1,33,3,23800,10,3.7,1,"$70,700",36,32,2.9,1,246480,397.66,620,221939,200154,21785,90.18%,9.82%,62413,"$102,937","$85,961",92514,0.41,243375,19883,8.17%,48201,19.81%,167058,11108,6.65%
Cole,31,5,20,1,41,5,8400,11,3.9,2,"$61,800",43,40,2.6,1,76630,391.55,196,75990,53896,22094,70.93%,29.07%,18662,"$94,863","$80,632",30291,0.42,71808,6851,9.54%,14678,20.44%,52876,4136,7.82%
Dunklin,22,8,30,5,42,5,6060,20,5.2,5,"$38,900",54,39,5.5,5,29657,541.91,55,31953,15831,16122,49.54%,50.46%,7744,"$68,875","$47,963",12119,0.51,28893,6847,23.70%,13562,46.94%,19722,4132,20.95%
Franklin,52,6,22,1,37,4,11680,11,3.9,1,"$61,400",58,24,3.2,2,103629,922.65,112,101492,45064,56428,44.40%,55.60%,28149,"$90,479","$75,886",41127,0.42,102240,9787,9.57%,24157,23.63%,71976,7630,10.60%
Greene,159,6,21,1,31,2,39710,14,4.5,4,"$45,300",42,28,2.7,1,291574,675.33,432,275174,236656,38518,86.00%,14.00%,73730,"$82,936","$63,795",127532,0.47,279688,42754,15.29%,96278,34.42%,191127,14069,7.36%
Howell,25,7,26,4,35,4,6900,17,4.9,5,"$40,200",No data,22,4.1,4,40130,927.18,43,40400,11242,29158,27.83%,72.17%,10499,"$58,770","$45,634",15557,0.45,39459,9399,23.82%,18191,46.10%,27506,3855,14.02%
Jackson,406,6,21,1,32,2,94040,14,4.7,4,"$57,900",59,51,3.7,4,700733,604.52,1159,674158,648291,25867,96.16%,3.84%,167177,"$93,996","$74,470",291532,0.46,689353,93885,13.62%,196833,28.55%,477814,41695,8.73%
Jasper,67,6,23,2,37,4,16040,13,4.1,2,"$46,000",47,27,3,1,120528,638.51,189,117404,89589,27815,76.31%,23.69%,29947,"$73,681","$59,926",46461,0.43,118328,20965,17.72%,42406,35.84%,79438,10169,12.80%
